experiment,model,dataset,method,stage,epoch,train_loss,dev_f1,test_f1,notes
A2_sp_xlmt_natural,XLM-T,Spanish-English,Standard,1,1,0.8821,0.5412,,
A2_sp_xlmt_natural,XLM-T,Spanish-English,Standard,1,2,0.6234,0.5689,,
A2_sp_xlmt_natural,XLM-T,Spanish-English,Standard,1,3,0.4912,0.5720,0.5820,primary_experiment
C1_clat_baseline,XLM-T,Hinglish,Standard,1,1,0.9102,0.6834,,
C1_clat_baseline,XLM-T,Hinglish,Standard,1,2,0.6891,0.7023,,
C1_clat_baseline,XLM-T,Hinglish,Standard,1,3,0.5234,0.7089,0.7161,
W1_cdwl_natural,XLM-T,Hinglish,CDWL,1,1,0.9245,0.6801,,
W1_cdwl_natural,XLM-T,Hinglish,CDWL,1,2,0.7012,0.6978,,
W1_cdwl_natural,XLM-T,Hinglish,CDWL,1,3,0.5389,0.7052,0.7140,
L1_laaf_natural,XLM-T,Hinglish,LAAF,1,1,1.1234,0.6423,,phase1_warmup
L1_laaf_natural,XLM-T,Hinglish,LAAF,1,2,0.9812,0.6712,,phase1_warmup
L1_laaf_natural,XLM-T,Hinglish,LAAF,2,1,0.6234,0.6934,,phase2_joint
L1_laaf_natural,XLM-T,Hinglish,LAAF,2,2,0.5123,0.7023,,phase2_joint
L1_laaf_natural,XLM-T,Hinglish,LAAF,2,3,0.4567,0.7089,0.7120,phase2_joint
CL1_combined_natural,XLM-T,Hinglish,CDWL+LAAF,1,1,1.1456,0.6512,,phase1_warmup
CL1_combined_natural,XLM-T,Hinglish,CDWL+LAAF,1,2,0.9901,0.6801,,phase1_warmup
CL1_combined_natural,XLM-T,Hinglish,CDWL+LAAF,2,1,0.6312,0.7012,,phase2_joint
CL1_combined_natural,XLM-T,Hinglish,CDWL+LAAF,2,2,0.5234,0.7101,,phase2_joint
CL1_combined_natural,XLM-T,Hinglish,CDWL+LAAF,2,3,0.4612,0.7134,0.7169,best_result
